"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J8,J5";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";2;"GND";;;
2;"J7";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"SPK";;;
3;"J6";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"VEE";;;
4;"J4";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"VCC";;;
5;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_Via";4;"MountingHole";;;
6;"L1";"Inductor_DIY_flipped";1;"1uH";;;
7;"C9";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"100n";;;
8;"C8,C7,C6,C5";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"1u";;;
9;"U2,U1";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";2;"LM1875";;;
10;"R12";"R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal";1;"10R 2W";;;
11;"R11";"R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal";1;"2R 2W";;;
12;"R10,R9";"R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal";2;"0R1 2W";;;
13;"R8,R7,R6,R5";"R_1206_3216Metric";4;"20K 0.1%";;;
14;"R4,R3,R2,R1";"R_1206_3216Metric";4;"2K 0.1%";;;
15;"J3";"TerminalBlock_CUI_01x03_P5.00mm";1;"POWER";;;
16;"J2";"TerminalBlock_CUI_01x02_P5.00mm";1;"OUTPUT";;;
17;"J1";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"INPUT";;;
18;"C4,C3";"CP_Radial_D16.0mm_P7.50mm";2;"1000u";;;
19;"C2,C1";"C_Radial_D10.0mm_H16.0mm_P5.00mm";2;"100u NP";;;
